PID,Price,Area,City,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,Furnished
6830,18000000,1050,Mumbai,Dattapada,2,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,,,0,0,0,1,0,,,,0
7537,17500000,922,Mumbai,Andheri East,2,1,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
7469,8009999,965,Mumbai,Mira Road East,2,0,,,0,1,1,0,1,0,1,1,1,1,0,0,0,,,0,0,1,1,0,,,,0
6651,60100000,1435,Mumbai,Juhu,3,0,,,0,1,0,1,0,1,1,1,1,0,0,0,1,,,0,1,0,1,0,,,,0
7079,5600000,635,Mumbai,Sector 19 Kharghar,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,,,0,0,0,0,0,,,,0
4487,4624000,937,Kolkata,Sonarpur,2,0,9,9,,9,9,9,,9,9,9,9,,,,,9,9,9,,9,9,,9,9,9,
444,5500000,1082,Banglore,Kumbalgodu,2,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1
6574,2865000,675,Mumbai,Badlapur East,1,0,,,0,0,0,1,0,1,1,1,1,0,0,0,1,,,0,0,0,1,0,,,,0
5064,2250000,750,Kolkata,Bhawanipur,2,1,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
5898,3360000,900,Kolkata,Uttarpara Kotrung,3,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
51,8716000,1575,Banglore,Jalahalli,3,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
6700,30000000,1701,Mumbai,Wadala,3,0,,,0,0,0,0,1,0,1,1,1,1,1,1,0,,,0,0,1,1,0,,,,0
6504,21700000,900,Mumbai,Vakola,2,0,,,0,0,0,0,0,0,1,1,1,0,0,0,0,,,0,0,0,1,0,,,,0
6222,6000000,740,Mumbai,Kharghar,1,1,,,1,1,0,0,1,0,1,1,1,1,0,0,0,,,0,0,1,1,0,,,,0
5560,13000000,950,Kolkata,Hussainpur,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
1289,8431000,1606,Chennai,Karapakkam,3,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
583,3809000,1465,Banglore,Marsur,3,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
1651,5793000,956,Chennai,Perambur,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6280,9500000,1000,Mumbai,Kharghar,2,1,,,0,1,0,1,1,1,1,1,1,1,0,0,1,,,0,0,0,1,0,,,,1
5119,4200000,750,Kolkata,Tiljala,2,1,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
794,4300000,814,Banglore,Nelamangala,2,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0
4833,9498000,2028,Kolkata,Tangra,4,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,9,9,9,
6060,5800000,850,Kolkata,Behala,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
7389,2110000,495,Mumbai,Kasheli,1,0,,,0,0,0,1,0,0,1,1,1,0,0,0,0,,,0,0,1,1,0,,,,0
6676,6952000,802,Mumbai,Bhiwandi,2,0,,,1,1,0,0,1,0,1,1,1,0,0,1,0,,,0,0,1,1,0,,,,0
4746,10500000,1265,Kolkata,New Town,2,1,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,9,9,9,
4149,5909000,1555,Hyderabad,Gajularamaram,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6483,14000000,671,Mumbai,Deonar,1,0,,,1,0,0,1,0,1,1,1,1,1,0,1,1,,,0,0,1,1,0,,,,0
6864,7000000,450,Mumbai,Four Bungalows,1,1,,,0,0,0,0,0,0,1,0,1,0,1,0,0,,,0,0,0,1,1,,,,0
2537,19000000,2500,Delhi,Sector 4 Dwarka,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
1269,10000000,1302,Chennai,Thoraipakkam OMR,3,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1
4444,2495000,1335,Kolkata,New Town,3,0,9,9,,9,9,9,,9,9,9,9,,,,,9,9,9,,9,9,,9,9,9,
7302,16500000,1250,Mumbai,Thane West,3,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,,,1,0,0,0,1,,,,0
1215,3372999,549,Chennai,Karapakkam,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
233,10700000,2010,Banglore,Jalahalli,3,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
4221,6600000,1380,Hyderabad,Manikonda,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,4972000,1143,Banglore,Horamavu,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
3419,46000000,3100,Hyderabad,Jubilee Hills,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
6420,8500000,1165,Mumbai,Sector12 Kamothe,2,1,,,0,0,0,0,0,0,1,0,1,0,1,0,0,,,0,0,0,1,1,,,,0
2114,18500000,2000,Delhi,Sector 5 Dwarka,3,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
1928,5000000,920,Delhi,Uttam Nagar,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
3954,9828000,1630,Hyderabad,Kondapur,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3728,6531000,1555,Hyderabad,Gajularamaram,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
5267,5385000,1160,Kolkata,Tangra,3,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
7433,4300000,650,Mumbai,Kharghar,1,1,,,0,0,0,0,1,0,1,1,1,0,0,0,0,,,0,0,1,1,0,,,,0
4130,7317000,1090,Hyderabad,Kukatpally,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
3810,7100000,1418,Hyderabad,Puppalaguda,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
6001,18000000,900,Kolkata,Behala,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
1942,4799000,950,Delhi,Uttam Nagar,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,4189000,931,Chennai,Mugalivakkam,2,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
4420,2400000,970,Kolkata,Barisha Purba Para Road,2,0,9,9,,9,9,9,,9,9,9,9,,,,,9,9,9,,9,9,,9,9,9,
2187,5500000,950,Delhi,Burari,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1827,8767000,1100,Chennai,Madipakkam,2,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1
5852,3043000,900,Kolkata,Behala,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
2260,2000000,517,Delhi,Burari,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,4200000,850,Delhi,Dwarka Mor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6258,5300000,670,Mumbai,Kharghar,1,1,,,0,0,0,0,1,0,1,1,1,1,0,0,0,,,0,0,0,1,0,,,,1
1660,3321000,977,Chennai,Singaperumal Koil,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
5522,2900000,980,Kolkata,Keshtopur,1,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
3356,10000000,1535,Hyderabad,Kondapur,3,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1
6471,2600000,400,Mumbai,Navi Basti,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,,0
2205,3600000,750,Delhi,Burari,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4560,3971000,1164,Kolkata,Sonarpur,3,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,9,9,9,
3049,21000000,2400,Delhi,Sector 10 Dwarka,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
6237,5500000,670,Mumbai,Kharghar,1,1,,,0,1,0,0,1,0,1,1,1,1,0,0,0,,,0,0,0,1,0,,,,0
6453,4500000,599,Mumbai,Sector 17 Ulwe,1,1,,,0,0,0,0,0,0,0,1,1,0,1,0,0,,,0,0,0,1,1,,,,0
2291,2200000,558,Delhi,Burari,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2392,3000000,1050,Delhi,Jamia Nagar,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5974,2000000,850,Kolkata,Tagore Park,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
6182,11000000,1415,Mumbai,Kharghar,3,1,,,1,1,0,1,1,1,1,1,1,1,0,0,1,,,0,0,0,1,0,,,,1
7361,3300000,612,Mumbai,Katrap,2,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,1,1,,,,0
6426,11000000,1230,Mumbai,Sector 17 Ulwe,2,1,,,0,0,0,0,0,0,1,0,1,0,1,0,0,,,0,0,0,1,1,,,,0
4012,3500000,1080,Hyderabad,Beeramguda,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6803,27000000,1650,Mumbai,Magathane,3,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,,,0,0,0,1,0,,,,0
4070,5000000,1620,Hyderabad,Mallampet,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,18300000,1550,Delhi,Sarita Vihar,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
3614,14000000,1908,Hyderabad,Kondapur,3,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0
4411,6200000,1350,Kolkata,New Town,3,1,9,9,,9,9,9,,9,9,9,9,,,,,9,9,9,,9,9,,9,9,9,
1034,7150000,1395,Banglore,Kumaraswamy Layout,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
3774,19500000,2350,Hyderabad,Hitech City,3,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0
3559,9600000,1295,Hyderabad,Jubilee Hills,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2526,14500000,2000,Delhi,Sector 10 Dwarka,3,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
6967,22000000,1300,Mumbai,Borivali West,2,0,,,0,1,0,0,1,0,1,1,1,0,0,0,0,,,0,0,1,1,0,,,,0
6599,6100000,1150,Mumbai,Dronagiri,2,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,,,0,0,0,1,0,,,,0
4363,2362000,852,Kolkata,Hooghly Chinsurah,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
1887,2700000,540,Delhi,Dwarka Mor,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
4938,16000000,1022,Kolkata,Dum Dum,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,9,9,9,
4626,2288000,856,Kolkata,Dum Dum,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,9,9,9,
83,4562000,1304,Banglore,Electronic City Phase 1,3,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
3045,12800000,1600,Delhi,Sector 5 Dwarka,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3247,9900000,2240,Hyderabad,Tellapur,3,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
3715,7000000,1210,Hyderabad,Nallagandla Gachibowli,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4838,30000000,1540,Kolkata,Tangra,3,1,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,9,9,9,
3240,6000000,1200,Hyderabad,Manikonda,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2127,16800000,2000,Delhi,Sector 6 Dwarka,4,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
555,4226000,1098,Banglore,Krishnarajapura,2,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
6684,6800000,880,Mumbai,Bhiwandi,2,0,,,1,1,1,1,1,0,1,1,1,0,1,1,0,,,0,0,1,1,0,,,,1
3333,18500000,1980,Hyderabad,Banjara Hills,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2974,4200000,785,Delhi,nawada,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1073,9900000,1705,Banglore,Yelahanka,3,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1
5257,7936000,2520,Kolkata,Dum Dum,4,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
6318,36500000,2030,Mumbai,Goregaon West,3,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,0,0,1,1,0,,,,1
1315,4284000,952,Chennai,Mugalivakkam,2,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
3187,3999000,1200,Hyderabad,Kistareddypet,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3280,10700000,1640,Hyderabad,Narsingi,3,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1
651,4455000,1100,Banglore,Anagalapura Near Hennur Main Road,2,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1
3455,3300000,800,Hyderabad,Gajularamaram,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3612,5500000,1050,Hyderabad,Saroornagar,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
391,2520000,900,Banglore,Attibele,2,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
6107,40000000,2100,Mumbai,Kharghar,4,1,,,0,1,0,0,0,0,1,1,1,0,0,0,0,,,0,0,0,1,0,,,,0
5586,5171000,1377,Kolkata,New Alipore,3,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
4481,3556000,1092,Kolkata,Sonarpur,3,0,9,9,,9,9,9,,9,9,9,9,,,,,9,9,9,,9,9,,9,9,9,
366,7900000,1160,Banglore,RR Nagar,2,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1
6677,2451000,570,Mumbai,Nala Sopara,1,0,,,1,1,0,0,0,0,1,1,1,0,0,1,0,,,0,0,1,1,0,,,,0
6549,5500000,900,Mumbai,Kharghar,2,1,,,0,0,0,0,0,0,0,0,1,1,0,0,0,,,0,0,0,0,0,,,,0
193,5327000,965,Banglore,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1
6890,13000000,1157,Mumbai,Thane West,2,1,,,1,1,1,0,1,0,1,1,1,0,0,1,0,,,0,1,1,1,0,,,,0
2515,14500000,2000,Delhi,Sector 23 Dwarka,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
7634,12500000,1000,Mumbai,Andheri West,2,1,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
7201,30000000,1480,Mumbai,Andheri,3,1,,,0,0,0,0,1,0,1,1,1,0,0,0,0,,,0,0,0,1,1,,,,0
7214,10100000,1580,Mumbai,Kharghar,3,1,,,0,1,0,0,0,0,1,1,1,0,0,0,0,,,0,0,1,1,0,,,,0
3071,18800000,1700,Delhi,Sector 4 Dwarka,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
4243,14700000,2191,Hyderabad,Kondapur,3,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0
6996,8700000,1160,Mumbai,Sector 19 Kamothe,2,1,,,0,0,0,0,0,0,1,0,1,0,1,0,0,,,0,0,0,1,1,,,,0
7388,2670000,630,Mumbai,Kasheli,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,,0
4543,3556000,1046,Kolkata,Sonarpur,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,9,9,9,
5488,6600000,950,Kolkata,New Town,1,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
2873,11000000,1600,Delhi,Sector 3 Dwarka,3,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1
6867,26000000,1350,Mumbai,no 9,3,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,,,0,0,0,1,0,,,,0
2315,3200000,630,Delhi,Dwarka Mor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,12200000,1944,Chennai,Karapakkam,3,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
2172,3300000,675,Delhi,Burari,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1370,5934000,913,Chennai,East Tambaram,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3535,14500000,1740,Hyderabad,Kukatpally,3,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1
1221,6834000,1140,Chennai,Iyappanthangal,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1952,28500000,2350,Delhi,Sector 11 Dwarka,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3826,8600000,1725,Hyderabad,Manikonda,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1577,5025000,1005,Chennai,Pammal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3336,11100000,1730,Hyderabad,Kukatpally,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6761,3000000,275,Mumbai,Thane,1,1,,,0,0,0,0,1,0,1,1,1,0,0,0,0,,,0,0,0,1,1,,,,0
3887,5000000,1150,Hyderabad,Nagole,2,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1890,3800000,450,Delhi,Shastri Nagar,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6626,5800000,540,Mumbai,Ulwe,1,0,,,0,1,0,0,0,0,1,1,1,0,0,0,0,,,0,0,0,1,0,,,,0
396,5557000,1185,Banglore,Kadugodi,2,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
4062,6600000,1555,Hyderabad,Gajularamaram,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
672,3632000,1215,Banglore,Narayanaghatta,3,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1
6947,9500000,1210,Mumbai,Kharghar,2,0,,,1,1,1,0,1,0,1,1,1,0,0,1,0,,,0,0,1,1,0,,,,0
5403,11100000,929,Kolkata,Tangra,2,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
14,5394000,1120,Banglore,Kasavanahalli,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
1700,2979000,540,Chennai,tambaram west,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4193,4500000,1050,Hyderabad,Gajularamaram,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3842,3200000,950,Hyderabad,Nizampet,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2314,4700000,875,Delhi,Dwarka Mor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4000000,1005,Banglore,Electronics City,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5457,2300000,1760,Kolkata,Dum Dum,3,0,,,,9,9,9,,9,9,9,9,,,,,,,9,,9,9,,,,,
